,ppl,merry,unmerry,money,lostjob,jobfight,PM,violent
1,-605,24337,9959,41931,3.8,6046,40.71,53854
2,-20022,16114,5476,79177,3.8,8430,38.67,47297
3,29518,14579,5824,19571,3.9,4360,57.66,26530
4,12397,17380,6356,105025,3.7,5058,43.89,31902
5,1712,10334,4071,15704,3.8,2589,48.33,32002
6,-1351,15942,6637,19380,3.8,9983,64.38,37518
7,-252,2475,1029,12961,3.8,448,36.49,9190
8,3376,3134,1228,251177,3.7,1163,47.8,9001
9,-4255,3027,1297,-136711,3.6,571,41.9,7295
10,-7297,7068,2383,-23862,3.6,908,54.22,17235
11,-2558,2659,1061,-21831,3.7,268,48.82,7829
12,-1709,3275,1388,-27438,3.7,367,61.15,9545
13,-1400,2372,1078,4805,3.8,331,58.3,7370
14,-2064,4321,1972,47741,3.9,685,75.36,12913
15,-367,1152,568,91713,3.5,95,33.96,2922
16,-756,2007,951,-38411,3.7,489,32.32,6562
17,619,512,285,-211724,3.7,38,49.02,1211
18,24,2143,1032,22047,3.8,554,51.74,7305
19,2169,2698,929,34979,3.8,342,19.85,5432
20,-409,1365,649,-63464,3.7,373,63.7,4442
21,-2511,26636,9668,51889,3.9,5707,39.74,56548
22,-19116,17818,5537,-12954,3.9,6257,39.09,48956
23,30834,15164,5654,10632,4,4707,50.72,26639
24,14060,18478,6354,-28858,3.8,4385,38.32,33351
25,1028,11105,4082,56402,3.9,2642,49.12,32185
26,61,17147,6553,20929,4,5106,57.77,35489
27,-317,2740,1009,-74474,4,627,35.01,9294
28,3680,3468,1334,81155,3.9,1136,51.92,8840
29,-4390,3422,1249,157955,3.9,561,48.84,7672
30,-5349,7734,2384,67636,3.8,1016,52.22,17678
31,-3006,2847,1082,37439,3.9,179,53.34,8337
32,-2302,3647,1363,19431,3.8,369,49.62,9590
33,-1708,2593,1083,5475,3.9,459,41.43,7565
34,-2046,4563,1981,41440,3.9,706,53.16,12913
35,-623,1223,569,50414,3.9,95,33.1,3582
36,-303,2084,876,23795,3.9,377,32.55,7310
37,929,539,224,276849,3.8,136,65.73,1251
38,387,2199,977,1881,4,383,42.32,7191
39,1395,2765,968,109745,3.9,383,51.74,6482
40,-638,1440,657,48407,3.7,476,58.64,4564
